"","Subject","Pre","Post","LeaYrs","DUH","AECI","List","Trial","Time","Type"
"134","f707e78d",6.67,2.22,3,0,3.6666666667,"0","2",NA,"MATCH"
"135","b1d25b94",5.56,9.44,5,0.5,3.6666666667,"0","2",859,"MATCH"
"136","48cf1411",8.89,9.44,1,0,3.6666666667,"0","2",NA,"MATCH"
"137","233ce8f7",3.89,10,2,0,4,"0","2",NA,"MATCH"
"138","fa92e41c",3.89,8.89,3,0.5,3.3333333333,"0","2",NA,"MATCH"
"139","778c76ef",3.89,5,3,0,3.6666666667,"0","2",2628,"MATCH"
"140","eff72d9a",2.22,10,3,2.5,4.6666666667,"0","2",NA,"MATCH"
"141","ee9deba5",3.33,7.78,1,1.25,4,"0","2",NA,"MATCH"
"142","ca5397d7",7.78,10,1,2,5,"0","2",1393,"MATCH"
"143","693666a8",4.44,7.78,2,0,2.3333333333,"0","2",467,"MATCH"
"144","c0524268",3.33,2.22,1,1,3.6666666667,"0","2",1855,"MATCH"
"145","c530ea24",3.89,10,1,0,3.3333333333,"0","2",771,"MATCH"
"146","7218bc4d",7.22,9.44,3,0.25,3,"0","2",847,"MATCH"
"147","5f1e472e",6.11,10,2,0,3.3333333333,"0","2",NA,"MATCH"
"148","a622c52a",9.44,10,1,6.5,4,"0","2",909,"MATCH"
"149","703c4f99",8.33,10,3,0.5,4,"0","2",2127,"MATCH"
"150","4103a03c",6.11,10,3,4.5,4,"0","2",1135,"MATCH"
"151","762813ff",6.67,10,2,1,5,"0","2",911,"MATCH"
"152","a9000b65",8.89,9.44,3,0,3.3333333333,"0","2",448,"MATCH"
"153","36bbb9aa",3.33,10,3,1,4,"0","2",1437,"MATCH"
"154","08482304",2.22,3.88,3,0,4,"0","2",NA,"MATCH"
"155","b24230d8",4.44,9.44,3,2,3,"0","2",729,"MATCH"
"156","6de2d396",8.88,10,4,1.5,4.3333333333,"0","2",1906,"MATCH"
"157","b2ed9879",8.33,10,4,0,3.6666666667,"0","2",1381,"MATCH"
"158","9355ed08",10,10,2,0,3.6666666667,"0","2",1555,"MATCH"
"159","2dc3d9da",5.56,10,3,0,2.6666666667,"0","2",2079,"MATCH"
"160","b8f67042",7.78,9.44,3,2,4.6666666667,"0","2",2190,"MATCH"
"161","27ead6f4",6.67,9.44,2,2.5,3.3333333333,"0","2",NA,"MATCH"
"162","2268d4d0",5,9.44,3,3,5,"0","2",796,"MATCH"
"163","de953033",6.67,10,7,1,4,"0","2",948,"MATCH"
"164","b90ea9a3",6.11,10,3,3,4,"0","2",1165,"MATCH"
"165","1521ab81",10,10,3,5,3.6666666667,"0","2",2161,"MATCH"
"166","56aa6a3a",3.89,10,3,0,3,"0","2",452,"MATCH"
"167","658e1e76",3.89,10,2,0,NA,"0","2",NA,"MATCH"
"168","adc9431a",5.55,10,4,11.5,4,"0","2",1785,"MATCH"
"169","c73ec47c",9.44,10,4,3,4,"0","2",686,"MATCH"
"170","9076a73c",2.78,8.89,3,2,4,"0","2",NA,"MATCH"
"171","a17d89a6",6.67,9.44,4,2,3.3333333333,"0","2",664,"MATCH"
"172","8d9e7fde",8.33,10,3,0,3.6666666667,"0","2",NA,"MATCH"
"173","256d204e",4.44,10,1,2.5,4,"0","2",NA,"MATCH"
"174","558361f3",6.11,10,5,3,3.6666666667,"0","2",NA,"MATCH"
"175","7a9bb206",6.67,6.11,1,1.5,3.3333333333,"0","2",888,"MATCH"
"176","88bd19b9",3.33,10,9,2,4.3333333333,"0","2",802,"MATCH"
"177","869dc024",6.67,10,4.75,6,4.6666666667,"0","2",NA,"MATCH"
"178","820c6812",8.89,9.44,1,4,4,"0","2",NA,"MATCH"
"179","e8ea90ca",NA,NA,NA,NA,NA,"0","2",NA,"MATCH"
"180","8cac1011",4.44,10,3,0,2.6666666667,"0","2",1653,"MATCH"
"181","cff91060",3.33,10,3,1,4.3333333333,"0","2",1544,"MATCH"
"182","5fe80c1a",7.78,10,2,0.5,4,"0","2",2018,"MATCH"
"183","217d559f",7.22,9.44,1,2.5,5,"0","2",NA,"MATCH"
"184","ef4bfb92",6.66,8.88,3,0.5,3,"0","2",NA,"MATCH"
"185","9ce86642",3.33,10,1,0,4.6666666667,"0","2",2098,"MATCH"
"186","024c8398",5,10,2,2,3.6666666667,"0","2",NA,"MATCH"
"187","66a18c79",10,10,3,4,5,"0","2",2379,"MATCH"
"188","e60663a7",6.67,8.89,3,3,5,"0","2",3577,"MATCH"
"189","99fdfb6a",7.78,9.44,3,1.25,4.3333333333,"0","2",419,"MATCH"
"190","534a944d",7.22,8.89,1,3,4.6666666667,"0","2",NA,"MATCH"
"191","2aa9ab68",2.77,5,3,0,4.6666666667,"0","2",1577,"MATCH"
"192","00f4bacf",5.56,10,16,4,5,"0","2",365,"MATCH"
"193","eb0bd775",5.56,10,3,2.5,4.3333333333,"0","2",1209,"MATCH"
"194","3de36e48",4.44,10,3,0.5,4.6666666667,"0","2",971,"MATCH"
