"","Subject","Pre","Post","LeaYrs","DUH","AECI","LangLev","List","Trial","Time","Type"
"97","ad139538",10,10,22,0,4.3333333333,"B2+","1","1",1001,"MATCH"
"98","ced60332",9.4,10,2,1,4,"B2+","1","1",890,"MATCH"
"99","001b6dbd",10,10,3.5,0,4.3333333333,"B2+","1","1",1342,"MATCH"
"100","c6d0416f",10,10,5,1.5,5,"B2+","1","1",1127,"MATCH"
"101","7f602b96",5,10,1,1.75,4.3333333333,"A2","0","2",2637,"MATCH"
"102","4c0ed8e8",2.2,7.8,2.25,0.25,3.3333333333,"A2","0","2",950,"MATCH"
"103","5f09194f",7.8,8.3,9,0,3.3333333333,"A2","0","2",435,"MATCH"
"104","cf96590e",8.3,9.4,0.5,0.375,3.6666666667,"A2","0","2",874,"MATCH"
"105","7e2ddfb9",2.2,10,0.75,0.75,3.6666666667,"A2","0","2",506,"MATCH"
"106","c736e9f8",8.3,10,1.25,0,3.3333333333,"A2","0","2",1534,"MATCH"
"107","ab130da0",6.7,10,5.5,0.75,3.6666666667,"A2","0","2",1064,"MATCH"
"108","42761fd6",8.3,9.4,1,0.35,3.5,"A2","0","2",891,"MATCH"
"109","00b3eb76",3.3,9.4,4.2,0.25,4.1,"B1","0","2",925,"MATCH"
"110","4eeee54c",7.8,9.4,5,0,3.3333333333,"B1","0","2",1068,"MATCH"
"111","8fbb4282",5,9.4,3,0.375,4,"B1","0","2",1981,"MATCH"
"112","b5480d50",3.9,10,6,1,4,"B1","0","2",NA,"MATCH"
"113","eedbf0c3",10,10,1.5,0.375,5,"B1","0","2",522,"MATCH"
"114","66b7c5fa",10,10,2,3.25,4,"B1","0","2",892,"MATCH"
"115","a29ce690",10,10,1,1.25,4.3333333333,"B1","0","2",897,"MATCH"
"116","c42d2738",6.1,8.3,3,0,3,"B1","0","2",627,"MATCH"
"117","aa132e6a",10,10,6,1.5,3.3333333333,"B1","0","2",1114,"MATCH"
"118","2151232b",10,10,4.2,0.5,4,"B1","0","2",1139,"MATCH"
"119","685deea7",6.1,10,1.5,0.125,3.5,"B1","0","2",1455,"MATCH"
"120","c542a4f8",10,10,6,3,5,"B2+","0","2",838,"MATCH"
"121","8508ee6c",5,10,5,0.75,3.6666666667,"B2+","0","2",1172,"MATCH"
"122","8f551579",10,10,3.08,0.125,4.3333333333,"B2+","0","2",1042,"MATCH"
"123","8a2c97d5",10,10,1,0.5,4.6666666667,"B2+","0","2",506,"MATCH"
"124","4d419e7a",6.7,8.9,9,0.25,5,"B2+","0","2",703,"MATCH"
"125","9fd8805f",10,10,3.5,0.75,4.3333333333,"B2+","0","2",1053,"MATCH"
"126","0bd48e31",10,10,4.2,0,4.1,"B2+","0","2",624,"MATCH"
"127","ee4837b0",9.4,10,9,3.5,4.6666666667,"B2+","0","2",607,"MATCH"
"128","93b24402",9.4,9.4,7,0,4.6666666667,"B2+","0","2",449,"MATCH"
"129","d3967b17",10,10,19,0.375,5,"B2+","0","2",2504,"MATCH"
"130","bfc95808",7.2,10,6,0.5,4.6666666667,"B2+","0","2",1477,"MATCH"
"131","c6385cb7",7.8,10,6,1,4.3333333333,"B2+","0","2",1304,"MATCH"
"132","5a6c7916",7.2,10,4.5,0,4,"B2+","0","2",809,"MATCH"
"133","50bfaf0e",9.4,10,4,3,3.3333333333,"B2+","0","2",2147,"MATCH"
"134","cc817718",7.2,10,3,0,3.3333333333,"B2+","0","2",808,"MATCH"
"135","0aa00f25",10,10,3.5,0.75,4.3333333333,"B2+","0","2",997,"MATCH"
"136","868df361",9.4,9.4,6,3,5,"B2+","0","2",802,"MATCH"
"137","3f91cfa7",7.8,9.4,4.25,1,3.6666666667,"B2+","0","2",2131,"MATCH"
"138","546eb0e5",3.9,10,4,0.1,4,"B2+","0","2",1398,"MATCH"
"139","6bdf23ec",7.2,9.4,5,1,5,"B2+","0","2",843,"MATCH"
"140","8e1b5327",9.4,9.4,0,1,4.1,"B2+","0","2",738,"MATCH"
"141","c1b15df9",9.4,10,4,1,5,"B2+","0","2",765,"MATCH"
"142","1fc23b09",10,10,1,0.5,4.6666666667,"B2+","0","2",721,"MATCH"
"143","0888364f",8.9,10,4.2,0.75,5,"B2+","0","2",697,"MATCH"
"144","5d5a0842",8.8,10,3,0.5,4,"B2+","0","2",569,"MATCH"
"145","d7f4b666",8.3,10,3.5,0.625,4.6666666667,"B2+","0","2",1143,"MATCH"
"146","df99e021",6.7,9.4,6,0.375,3.6666666667,"B2+","0","2",559,"MATCH"
"147","d9c7c5ff",2.8,10,4.2,0.125,4.3333333333,"B2+","0","2",NA,"MATCH"
"148","e034a323",8.3,10,1.5,0,3.6666666667,"A2","1","2",1278,"MATCH"
"149","13bc3a3e",5.6,9.4,1,0.5,3.3333333333,"A2","1","2",NA,"MATCH"
"150","833efcf2",8.3,9.4,3,0.25,3.3333333333,"B1","1","2",NA,"MATCH"
"151","1ba8b63a",7.8,10,2,0.25,3,"A2","1","2",NA,"MATCH"
"152","5af29f72",8.9,10,1,0.75,4.3333333333,"A2","1","2",709,"MATCH"
"153","f36e76f9",5.6,9.4,5,0.25,3.3333333333,"A2","1","2",NA,"MATCH"
"154","cfe9b984",6.7,10,1,0,3,"A2","1","2",NA,"MATCH"
"155","3b1c676f",5.6,8.3,2,2,4.3333333333,"A2","1","2",NA,"MATCH"
"156","c15f1815",7.8,9.4,1.25,0.5,3,"A2","1","2",NA,"MATCH"
"157","0602ea72",10,10,4,0.5,4.1666666667,"B1","1","2",1091,"MATCH"
"158","da0f3d33",9.4,9.4,4.5,0.375,3.6666666667,"B1","1","2",2902,"MATCH"
"159","337d4896",8.9,10,5,1,1.6666666667,"B1","1","2",1700,"MATCH"
"160","8e107dc5",9.4,10,5.25,0.5,4.3333333333,"B1","1","2",661,"MATCH"
"161","4f7e6316",7.8,10,3,0,3.6666666667,"B1","1","2",1385,"MATCH"
"162","016cb1a1",10,10,3.75,0,4,"B1","1","2",NA,"MATCH"
"163","e4e0da4a",10,10,1.5,0.5,4.3333333333,"B1","1","2",2926,"MATCH"
"164","63cc68df",8.9,10,0.25,1.25,4.6666666667,"B1","1","2",826,"MATCH"
"165","e6c18c70",7.8,10,10,0.55,4,"B1","1","2",2752,"MATCH"
"166","d66fa12b",5.6,10,4,1,3.6666666667,"B1","1","2",NA,"MATCH"
"167","dbeeb7ea",6.7,9.4,3.5,0.5,4,"B1","1","2",761,"MATCH"
"168","fb3bf7ba",6.1,8.3,2.5,0.25,3.3333333333,"B1","1","2",NA,"MATCH"
"169","8fa7f98f",7.2,9.4,4,0,3.6666666667,"B1","1","2",980,"MATCH"
"170","7a99a20a",9.4,10,5,0.25,4.3333333333,"B1","1","2",2049,"MATCH"
"171","23c390c9",7.8,7.2,1.5,0.125,3,"B1","1","2",1124,"MATCH"
"172","0d3bd7a0",6.7,8.9,3,1.25,3.5,"B1","1","2",NA,"MATCH"
"173","e026b148",2.2,10,6,0,4.6666666667,"B1","1","2",2116,"MATCH"
"174","b2f7aa09",4.4,10,3,0.75,4.3333333333,"B1","1","2",NA,"MATCH"
"175","59c1a5e7",7.2,10,3,0,3.3333333333,"B1","1","2",1395,"MATCH"
"176","c114f50f",10,10,0.5,0.5,4.6666666667,"B1","1","2",NA,"MATCH"
"177","3deaf195",8.8,10,1,0,3.6666666667,"B1","1","2",NA,"MATCH"
"178","514e5fd7",10,10,5,1.5,4.6666666667,"B2+","1","2",3112,"MATCH"
"179","ffbb64d5",10,10,7,4,4.3333333333,"B2+","1","2",657,"MATCH"
"180","3387e93f",8.8,10,15,1,4.6666666667,"B2+","1","2",NA,"MATCH"
"181","7b3f5faa",10,10,10,0.125,4.6666666667,"B2+","1","2",786,"MATCH"
"182","5f0bf551",1.7,10,7.5,1,4,"B2+","1","2",765,"MATCH"
"183","32e65391",4.4,10,1,3.25,4.3333333333,"B2+","1","2",1734,"MATCH"
"184","31e5a7ee",10,10,10.5,0,4,"B2+","1","2",1873,"MATCH"
"185","b03a0210",10,10,7,0.25,4.6666666667,"B2+","1","2",1826,"MATCH"
"186","848074de",7.8,10,2,1.25,4,"B2+","1","2",1087,"MATCH"
"187","428830bf",8.3,10,6,1.75,4.3333333333,"B2+","1","2",NA,"MATCH"
"188","d5268043",9.4,10,0.75,0.3,4.3333333333,"B2+","1","2",1000,"MATCH"
"189","947b36a8",4.4,6.1,2,1,4,"B2+","1","2",1320,"MATCH"
